"","","","song_title"
"1","SCETTYB101","A R rahman","Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi"
"2","SCETTYB101","Kishor Kumar","Diye Jalate Hai,Aaiye Shauk se Kahiye,Aaj ka ye din,Aadmi jo kaheta Hai,Aaj Madhosh Hua Jaye re,Aai Khuda Har faisala tera Muze Manjur hai,Aaiye Shauk se Kahiye,Aai Khuda Har faisala tera Muze Manjur hai,AA Dekhe jara ,AA Dekhe jara ,Aaj Madhosh Hua Jaye re,Aaiye Shauk se Kahiye,Aaj ka ye din,Aaj na chhodenge ,Aaj na chhodenge ,Diye Jalate Hai,Diye Jalate Hai,Aadmi jo kaheta Hai,Aaj na chhodenge ,Diye Jalate Hai,Aaiye Shauk se Kahiye,Diye Jalate Hai,Aaj ka ye din,Aaj na chhodenge ,Aaj ka ye din,Diye Jalate Hai,Aaiye Shauk se Kahiye,Aaj ka ye din,Aadmi jo kaheta Hai,Aaj Madhosh Hua Jaye re,Aaj ka ye din,Aaj ka ye din,Aai Khuda Har faisala tera Muze Manjur hai,Aadmi jo kaheta Hai,Diye Jalate Hai,Aaiye Shauk se Kahiye"
"3","SCETTYB101","Labh Jan Jua","Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"4","SCETTYB101","Mohit Chauhan","Naadaan Parindey,Ilahi,Jaana Hai,Kuchh Iss Tarah,Hawa Hawaa,Naadaan Parindey,Sadda Haq,Kuchh Iss Tarah,Haafiz Khuda,Phir Se Udd Chala,Haafiz Khuda,Hawa Hawaa,Tum Ho,Naadaan Parindey,Kuchh Iss Tarah,Haafiz Khuda,Kuchh Iss Tarah,Naadaan Parindey,Ilahi,Jaana Hai,Kuchh Iss Tarah,Hawa Hawaa,Jo Bhi Main,Haafiz Khuda,Phir Se Udd Chala,Jaana Hai,Sadda Haq,Naadaan Parindey,Naadaan Parindey,Naadaan Parindey"
"5","SCETTYB101","Mohmad Rafi","Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Abhi Na Jao Chhod Kar"
"6","SCETTYB101","Mukesh","Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani"
"7","SCETTYB101","Neha Bhansin","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"8","SCETTYB101","Shreya Ghoshal","Saans Me Teri ,Deewangi Deewangi,Dhoom Taana,Koi Pathar Se na Maare,Dhoom Taana,Om Shanti Om,Deewangi Deewangi,Saans Me Teri ,Raabta,Teri Baahon Maein Hum,Saans Me Teri ,Om Shanti Om,Dhoom Taana,Silsila Ye Chahat Ka,Dola Re Dola,Wada Raha,Teri Baahon Maein Hum,Om Shanti Om,Dhoom Taana,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Saans Me Teri ,Dil Dooba,Raabta,Saans Me Teri ,Saans Me Teri ,Dhoom Taana,Om Shanti Om,Saans Me Teri ,Om Shanti Om,Deewangi Deewangi,Raabta,Om Shanti Om,Dhoom Taana,Raabta,Dil Dooba,Om Shanti Om,Deewangi Deewangi,More Piya,Raabta,Dhoom Taana,Deewangi Deewangi,Raabta,Om Shanti Om,Raabta,Dhoom Taana,Om Shanti Om,Koi Pathar Se na Maare,Om Shanti Om,Saans Me Teri ,Deewangi Deewangi,Dhoom Taana,Koi Pathar Se na Maare,Dhoom Taana,Om Shanti Om,Deewangi Deewangi,Saans Me Teri ,Raabta,Teri Baahon Maein Hum,Saans Me Teri ,Om Shanti Om,Dhoom Taana,Silsila Ye Chahat Ka,Dola Re Dola,Wada Raha,Teri Baahon Maein Hum,Om Shanti Om,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,More Piya,Saans Me Teri ,Deewangi Deewangi,Dhoom Taana,Raabta,Saans Me Teri "
"9","SCETTYB101","Sonu Nigam","Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai "
"10","SCETTYB101","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
