"","","","song_title"
"1","SCETTYB101","8*10 Tasveer","Jaana Hai,Kuchh Iss Tarah,Kuchh Iss Tarah,Haafiz Khuda,Haafiz Khuda,Kuchh Iss Tarah,Haafiz Khuda,Kuchh Iss Tarah,Jaana Hai,Kuchh Iss Tarah,Haafiz Khuda,Jaana Hai"
"2","SCETTYB101","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"3","SCETTYB101","Abdullah","Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai"
"4","SCETTYB101","Agent Vinod ","Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta"
"5","SCETTYB101","Border","Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"6","SCETTYB101","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"7","SCETTYB101","Devdas","Silsila Ye Chahat Ka,Dola Re Dola,More Piya,Silsila Ye Chahat Ka,Dola Re Dola,More Piya"
"8","SCETTYB101","Gunday","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"9","SCETTYB101","Highway","Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi"
"10","SCETTYB101","Humpty Sharma Ki Dulhniya","D Se Dance ,D Se Dance ,D Se Dance ,D Se Dance "
"11","SCETTYB101","Jab Tak Hai Jaan ","Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri "
"12","SCETTYB101","Kati patang","Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge "
"13","SCETTYB101","Khakee","Teri Baahon Maein Hum,Wada Raha,Teri Baahon Maein Hum,Dil Dooba,Dil Dooba,Teri Baahon Maein Hum,Wada Raha,Teri Baahon Maein Hum"
"14","SCETTYB101","Majboor","Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai"
"15","SCETTYB101","Mohmad Rafi","Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Abhi Na Jao Chhod Kar"
"16","SCETTYB101","Namak Haram","Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai"
"17","SCETTYB101","Nastik","Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din"
