"","","","song_title"
"1","SCETTYB101","","Naadaan Parindey,Naadaan Parindey"
"2","SCETTYB101","Exciting","Jee Karda,D Se Dance ,Sandese Aate Hai ,Jee Karda,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Dola Re Dola,Wada Raha,Ashlam-e-Ishqum,Sadda Haq,AA Dekhe jara ,AA Dekhe jara ,Dil Dooba,Ashlam-e-Ishqum,Dil Dooba,D Se Dance ,Jee Karda,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Jee Karda,D Se Dance ,Sandese Aate Hai ,Jee Karda,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Dola Re Dola,Wada Raha,D Se Dance ,Jee Karda,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Sandese Aate Hai ,Sadda Haq,Jee Karda"
"3","SCETTYB101","happy","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
"4","SCETTYB101","Happy","Aisi Deewangi Dekhi,Deewangi Deewangi,Dhoom Taana,Mera Joota Hai Japani,Dhoom Taana,Om Shanti Om,Deewangi Deewangi,Ilahi,Jaana Hai,Teri Baahon Maein Hum,Om Shanti Om,Dhoom Taana,Aaj Madhosh Hua Jaye re,Mera Joota Hai Japani,Teri Baahon Maein Hum,Om Shanti Om,Dhoom Taana,Om Shanti Om,Hawa Hawaa,Mera Joota Hai Japani,Om Shanti Om,Deewangi Deewangi,Mera Joota Hai Japani,Phir Se Udd Chala,Aaj Madhosh Hua Jaye re,Mera Joota Hai Japani,Dhoom Taana,Om Shanti Om,Aisi Deewangi Dekhi,Om Shanti Om,Deewangi Deewangi,Aisi Deewangi Dekhi,Om Shanti Om,Aaj na chhodenge ,Aaj na chhodenge ,Dhoom Taana,Om Shanti Om,Hawa Hawaa,Deewangi Deewangi,More Piya,Aaj na chhodenge ,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Aisi Deewangi Dekhi,Dhoom Taana,Om Shanti Om,Aaj na chhodenge ,Om Shanti Om,Aisi Deewangi Dekhi,Deewangi Deewangi,Dhoom Taana,Mera Joota Hai Japani,Dhoom Taana,Om Shanti Om,Deewangi Deewangi,Ilahi,Jaana Hai,Teri Baahon Maein Hum,Om Shanti Om,Dhoom Taana,Aaj Madhosh Hua Jaye re,Mera Joota Hai Japani,Teri Baahon Maein Hum,Om Shanti Om,Hawa Hawaa,Aisi Deewangi Dekhi,Om Shanti Om,Phir Se Udd Chala,Jaana Hai,Om Shanti Om,Deewangi Deewangi,More Piya,Aisi Deewangi Dekhi,Deewangi Deewangi,Dhoom Taana,Aisi Deewangi Dekhi,Mera Joota Hai Japani"
"5","SCETTYB101","Sad","Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Koi Pathar Se na Maare,Khoya khoya chand ,Raabta,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Maahi,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Maahi,Maahi,Raabta,Tum Bin Jaoon Kahan,Raabta,Abhi Na Jao Chhod Kar,Raabta,Khoya khoya chand ,Maahi,Raabta,Raabta,Maahi,Abhi Na Jao Chhod Kar,Raabta,Khoya khoya chand ,Khoya khoya chand ,Koi Pathar Se na Maare,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Koi Pathar Se na Maare,Khoya khoya chand ,Raabta,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Maahi,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Maahi,Maahi,Maahi,Khoya khoya chand ,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Raabta,Abhi Na Jao Chhod Kar"
"6","SCETTYB101","silent","Saans Me Teri ,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye,Saans Me Teri "
"7","SCETTYB101","Silent","Diye Jalate Hai,Naadaan Parindey,Aaj ka ye din,Kuchh Iss Tarah,Aadmi jo kaheta Hai,Silsila Ye Chahat Ka,Naadaan Parindey,Aai Khuda Har faisala tera Muze Manjur hai,Kuchh Iss Tarah,Haafiz Khuda,Aai Khuda Har faisala tera Muze Manjur hai,Haafiz Khuda,Aaj ka ye din,Diye Jalate Hai,Tum Ho,Kuchh Iss Tarah,Diye Jalate Hai,Aadmi jo kaheta Hai,Diye Jalate Hai,Haafiz Khuda,Kuchh Iss Tarah,Diye Jalate Hai,Aaj ka ye din,Aaj ka ye din,Diye Jalate Hai,Naadaan Parindey,Aaj ka ye din,Kuchh Iss Tarah,Aadmi jo kaheta Hai,Silsila Ye Chahat Ka,Jo Bhi Main,Aaj ka ye din,Haafiz Khuda,Aaj ka ye din,Aai Khuda Har faisala tera Muze Manjur hai,Aadmi jo kaheta Hai,Diye Jalate Hai,Naadaan Parindey,Naadaan Parindey"
"8","SCETTYB102","","Naadaan Parindey,Naadaan Parindey,Naadaan Parindey"
"9","SCETTYB102","Exciting","Ashlam-e-Ishqum,Sandese Aate Hai ,Dola Re Dola,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Sandese Aate Hai ,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Sandese Aate Hai ,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Dola Re Dola,Jee Karda,Jee Karda,Wada Raha,Ashlam-e-Ishqum,Sandese Aate Hai ,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Dola Re Dola,Dola Re Dola,Wada Raha,Sadda Haq,Jee Karda,Sandese Aate Hai ,AA Dekhe jara ,Wada Raha,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Sandese Aate Hai ,Ashlam-e-Ishqum,Sandese Aate Hai ,Dola Re Dola,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Sandese Aate Hai ,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Sandese Aate Hai ,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Dola Re Dola,Jee Karda,Jee Karda,Ashlam-e-Ishqum,AA Dekhe jara ,AA Dekhe jara ,Wada Raha,Jee Karda,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Jee Karda,Ashlam-e-Ishqum,Dola Re Dola,Dola Re Dola,Dil Dooba,Sadda Haq"
"10","SCETTYB102","happy","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
"11","SCETTYB102","Happy","Dhoom Taana,Deewangi Deewangi,More Piya,Om Shanti Om,Deewangi Deewangi,Hawa Hawaa,Aisi Deewangi Dekhi,Hawa Hawaa,Aisi Deewangi Dekhi,Deewangi Deewangi,Mera Joota Hai Japani,Jaana Hai,Phir Se Udd Chala,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Mera Joota Hai Japani,Ilahi,Om Shanti Om,Deewangi Deewangi,Aisi Deewangi Dekhi,Om Shanti Om,Aaj na chhodenge ,Aaj na chhodenge ,Om Shanti Om,Aaj na chhodenge ,Deewangi Deewangi,Ilahi,Aisi Deewangi Dekhi,Dhoom Taana,Deewangi Deewangi,Aaj na chhodenge ,Dhoom Taana,Aaj Madhosh Hua Jaye re,Dhoom Taana,Om Shanti Om,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Mera Joota Hai Japani,Ilahi,Aisi Deewangi Dekhi,Ilahi,Phir Se Udd Chala,Jo Bhi Main,Jaana Hai,Jaana Hai,Teri Baahon Maein Hum,Aisi Deewangi Dekhi,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,More Piya,Om Shanti Om,Deewangi Deewangi,Hawa Hawaa,Aisi Deewangi Dekhi,Hawa Hawaa,Aisi Deewangi Dekhi,Deewangi Deewangi,Mera Joota Hai Japani,Jaana Hai,Phir Se Udd Chala,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Mera Joota Hai Japani,Ilahi,Om Shanti Om,Deewangi Deewangi,Aisi Deewangi Dekhi,Om Shanti Om,Aaj na chhodenge ,Aaj na chhodenge ,Om Shanti Om,Aaj na chhodenge ,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Aisi Deewangi Dekhi,Mera Joota Hai Japani,Ilahi,Hawa Hawaa,Deewangi Deewangi,Ilahi,Aaj na chhodenge ,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Aisi Deewangi Dekhi,Om Shanti Om,Aaj na chhodenge ,Deewangi Deewangi,Mera Joota Hai Japani,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Hawa Hawaa,Aisi Deewangi Dekhi,Ilahi"
"12","SCETTYB102","Sad","Maahi,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Raabta,Raabta,Maahi,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Koi Pathar Se na Maare,Raabta,Koi Pathar Se na Maare,Khoya khoya chand ,Raabta,Khoya khoya chand ,Maahi,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Raabta,Maahi,Khoya khoya chand ,Koi Pathar Se na Maare,Maahi,Gulabi Ankhe,Koi Pathar Se na Maare,Khoya khoya chand ,Khoya khoya chand ,Koi Pathar Se na Maare,Khoya khoya chand ,Gulabi Ankhe,Gulabi Ankhe,Khoya khoya chand ,Raabta,Raabta,Gulabi Ankhe,Raabta,Maahi,Maahi,Maahi,Khoya khoya chand ,Koi Pathar Se na Maare,Maahi,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Raabta,Raabta,Maahi,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Koi Pathar Se na Maare,Raabta,Koi Pathar Se na Maare,Khoya khoya chand ,Raabta,Khoya khoya chand ,Maahi,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Raabta,Tum Bin Jaoon Kahan,Raabta,Koi Pathar Se na Maare,Gulabi Ankhe,Koi Pathar Se na Maare,Khoya khoya chand ,Koi Pathar Se na Maare,Raabta,Khoya khoya chand ,Koi Pathar Se na Maare,Tum Bin Jaoon Kahan,Maahi,Maahi,Khoya khoya chand "
"13","SCETTYB102","silent","Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye,Saans Me Teri "
"14","SCETTYB102","Silent","Naadaan Parindey,Tum Ho,Tum Ho,Kuchh Iss Tarah,Diye Jalate Hai,Aadmi jo kaheta Hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,Jo Bhi Main,Aaj ka ye din,Diye Jalate Hai,Diye Jalate Hai,Haafiz Khuda,Silsila Ye Chahat Ka,Naadaan Parindey,Jo Bhi Main,Naadaan Parindey,Haafiz Khuda,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Naadaan Parindey,Tum Ho,Tum Ho,Kuchh Iss Tarah,Diye Jalate Hai,Aadmi jo kaheta Hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,Tum Ho,Aai Khuda Har faisala tera Muze Manjur hai,Diye Jalate Hai,Aai Khuda Har faisala tera Muze Manjur hai,Diye Jalate Hai,Kuchh Iss Tarah,Aaj ka ye din,Jo Bhi Main"
"15","SCETTYB103","","Naadaan Parindey,Naadaan Parindey,Naadaan Parindey,Naadaan Parindey,Naadaan Parindey"
"16","SCETTYB103","Exciting","Ashlam-e-Ishqum,Dil Dooba,Ashlam-e-Ishqum,Jee Karda,Ashlam-e-Ishqum,Sandese Aate Hai ,Jee Karda,D Se Dance ,Dola Re Dola,Ashlam-e-Ishqum,Sandese Aate Hai ,Ashlam-e-Ishqum,AA Dekhe jara ,Dil Dooba,AA Dekhe jara ,Sandese Aate Hai ,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Ashlam-e-Ishqum,Dil Dooba,Ashlam-e-Ishqum,Jee Karda,Ashlam-e-Ishqum,Sandese Aate Hai ,Jee Karda,Sadda Haq,Dola Re Dola,Ashlam-e-Ishqum,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Wada Raha,D Se Dance ,Ashlam-e-Ishqum"
"17","SCETTYB103","happy","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
